id,country_of_origin,gender,age,education_level,language_proficiency,family_size,prior_camp_years,persecution_ground,persecution_type,nexus_established,state_protection_score,internal_relocation_possible,reported_trauma,credibility_score,risk_score,risk_score_uncapped,integration_score,AI_decision,human_reviewed,human_override,final_decision,processing_time_days,appealed,appeal_outcome,bias_flag
18,Somalia,Female,54,Secondary,Advanced,4,3,political_opinion,discrimination,True,0.4081703043818372,True,True,0.5250764914944376,0.796434251096585,0.796434251096585,0.36170354925375414,approve,False,False,approve,38,False,N/A,none
19,Somalia,Male,44,Secondary,Basic,6,1,social_group,violence,True,0.16255888491544127,True,True,0.5080917363391447,0.8191709597932145,0.8191709597932145,0.7248673633240779,approve,False,False,approve,65,False,N/A,none
20,Sudan,Male,50,Primary,Intermediate,4,8,social_group,discrimination,False,0.5033164201658243,False,False,0.6049301076918945,0.6439234926287486,0.6439234926287486,0.5094812799308734,deny,False,False,deny,69,False,N/A,none
21,Venezuela,Female,21,Tertiary,Advanced,2,0,religion,detention,False,0.47552980637949055,True,True,0.5691597936465802,0.7154676257227659,0.7154676257227659,0.6394724862492075,deny,False,False,deny,53,False,N/A,none
22,Eritrea,Female,39,Primary,Intermediate,3,3,political_opinion,discrimination,True,0.32014447458716894,False,False,0.704024627591865,0.730972912775944,0.730972912775944,0.46688914093247424,approve,False,False,approve,77,False,N/A,none
23,Afghanistan,Female,19,Primary,Intermediate,5,0,race,sexual_violence,False,0.31193967935640543,True,True,0.4893531363330275,1.0,1.0230743877696389,0.3863875402665624,deny,False,False,deny,92,False,N/A,none
24,Somalia,Female,27,Secondary,Intermediate,3,5,nationality,detention,True,0.38310866566738605,False,True,0.7183105744775357,0.8888054978838824,0.8888054978838824,0.6364429618061598,approve,False,False,approve,98,False,N/A,none
25,Myanmar,Female,22,Secondary,Intermediate,3,3,religion,violence,True,0.17074453946156126,True,False,0.5394712655658503,0.8647405577259623,0.8647405577259623,0.6928037790335646,approve,False,False,approve,82,False,N/A,none
26,Venezuela,Female,27,Secondary,Intermediate,2,4,nationality,violence,True,0.3045047218746123,True,False,0.9578560919262732,0.7823455897244069,0.7823455897244069,0.7483302110364944,approve,False,False,approve,83,False,N/A,none
27,Venezuela,Female,50,None,Fluent,3,4,race,threats,True,0.05,True,True,0.4355501012111907,0.6132377959065987,0.6132377959065987,0.6604539476877422,deny,False,False,deny,71,True,overturned,none
28,Afghanistan,Female,55,Tertiary,Intermediate,6,8,race,detention,True,0.43146834682544033,True,True,0.7028953505800655,0.8629467643349216,0.8629467643349216,0.5603911845794305,approve,False,False,approve,74,False,N/A,moderate
29,Somalia,Female,30,Primary,Intermediate,1,0,social_group,threats,True,0.0657760166337211,True,False,0.7687788965582102,0.8971825887770086,0.8971825887770086,0.6751197687462356,approve,False,False,approve,119,False,N/A,none
30,Myanmar,Female,48,Primary,Advanced,4,1,race,detention,False,0.5255129742643498,True,True,0.5344039354699832,0.8197561668067641,0.8197561668067641,0.38737457530249175,deny,False,False,deny,43,True,upheld,none
31,Eritrea,Female,64,Tertiary,Intermediate,1,5,nationality,detention,True,0.25048198590503246,False,True,0.7978702965149427,0.8315697932766388,0.8315697932766388,0.6744963305525793,approve,False,False,approve,58,False,N/A,none
32,Syria,Male,53,Tertiary,Basic,5,4,political_opinion,sexual_violence,True,0.2682499527103235,True,False,0.4656224603299376,1.0,1.0803789153199754,0.3821780062616572,deny,False,False,deny,35,True,upheld,moderate
33,Myanmar,Male,62,Tertiary,Intermediate,4,6,political_opinion,threats,True,0.20583991408732416,False,False,0.967817654877384,0.6989719721324746,0.6989719721324746,0.7926863434141653,approve,False,False,approve,36,False,N/A,none
34,Afghanistan,Male,41,Tertiary,Fluent,3,2,social_group,sexual_violence,True,0.25679416891168855,True,True,0.7721223897448638,0.9644591836559363,0.9644591836559363,0.8388929297443897,approve,True,True,deny,113,True,upheld,none
35,Venezuela,Female,32,Secondary,Basic,5,2,nationality,detention,True,0.5127797017722054,False,False,0.5105382888046681,0.6210538254350838,0.6210538254350838,0.76439650312867,approve,False,False,approve,82,False,N/A,moderate
36,Eritrea,Male,46,Secondary,Intermediate,4,9,nationality,violence,True,0.05,False,True,0.5751227341358849,0.7890165273824519,0.7890165273824519,0.5752841464384472,approve,True,False,approve,92,False,N/A,none
37,Myanmar,Male,25,None,Basic,6,1,race,detention,False,0.4915448079132282,False,True,0.4913378904089079,0.7804763022604301,0.7804763022604301,0.6102298129341638,deny,False,False,deny,116,True,upheld,none
38,Syria,Female,22,Secondary,Intermediate,6,2,nationality,sexual_violence,True,0.3507035221652562,True,True,0.5323317062224344,1.0,1.002231313307938,0.650053320227925,approve,False,False,approve,67,False,N/A,none
39,Syria,Male,46,Primary,Basic,6,9,religion,threats,True,0.11894675282141767,True,True,0.3575963465865834,0.8600422546557854,0.8600422546557854,0.33258724323767674,deny,False,False,deny,88,False,N/A,moderate
40,Sudan,Female,64,Primary,Intermediate,6,0,race,threats,True,0.1387031410426143,False,False,0.6167695103624393,0.8350395536322403,0.8350395536322403,0.5213763964296889,approve,False,False,approve,30,False,N/A,none
41,Sudan,Male,21,Secondary,Advanced,3,4,religion,sexual_violence,True,0.5514589540812305,True,True,0.4934556830845049,0.902064372779372,0.902064372779372,0.33110143375512663,deny,False,False,deny,97,False,N/A,none
42,Iraq,Male,29,Secondary,Intermediate,1,4,social_group,threats,True,0.15817396800859032,True,False,0.9730815861912724,0.7018579449329122,0.7018579449329122,0.7539733535462849,approve,False,False,approve,73,False,N/A,none
43,Afghanistan,Female,62,None,Intermediate,4,6,political_opinion,discrimination,False,0.12699742341060608,True,False,0.4650408113177915,0.846721925742426,0.846721925742426,0.2936676828894933,deny,False,False,deny,76,False,N/A,severe
44,Somalia,Male,19,Primary,Advanced,3,3,social_group,violence,True,0.4705971813547094,True,True,0.7447425179270607,0.9539035949178222,0.9539035949178222,0.4796376061270868,approve,False,False,approve,64,False,N/A,none
45,Myanmar,Male,44,Secondary,Fluent,6,2,political_opinion,violence,True,0.35078293144288714,True,False,0.831420512547166,0.7503205242202982,0.7503205242202982,0.6271586602673356,approve,True,True,deny,156,True,overturned,moderate
46,Myanmar,Female,48,None,Basic,1,0,social_group,violence,True,0.15931116351954017,False,True,0.22231989242770483,0.8867962283609173,0.8867962283609173,0.3876171093719689,deny,False,False,deny,89,False,N/A,severe
47,Somalia,Female,53,Tertiary,Intermediate,5,7,nationality,threats,True,0.33249374631069284,True,True,0.6691067936180907,0.8642233393194974,0.8642233393194974,0.6140545444029684,approve,False,False,approve,119,False,N/A,none
48,Iraq,Male,53,Secondary,Basic,5,2,religion,threats,True,0.1461370974539584,False,False,0.7176004168966122,0.596537275312246,0.596537275312246,0.4139543912769083,approve,False,False,approve,81,False,N/A,severe
49,Venezuela,Female,43,Secondary,Fluent,5,1,political_opinion,detention,False,0.4651232097633907,True,False,0.771760799737054,0.7278147501045673,0.7278147501045673,0.6644667386755138,deny,False,False,deny,37,True,overturned,moderate
50,Venezuela,Male,60,Secondary,Fluent,6,3,race,detention,True,0.45920564473097003,True,True,0.8989669418776542,0.716233665292641,0.716233665292641,0.4897796859951593,approve,False,False,approve,109,False,N/A,moderate
51,Iraq,Male,44,Tertiary,Intermediate,5,2,religion,violence,False,0.37980092982329144,False,True,0.8232273089172796,0.7491496962758084,0.7491496962758084,0.7074524221510372,deny,True,False,deny,105,False,N/A,none
52,Venezuela,Female,22,Primary,Advanced,2,0,race,discrimination,True,0.35424915918705246,True,True,0.7578372281987494,0.6052510544136883,0.6052510544136883,0.6838110218982589,approve,False,False,approve,32,False,N/A,none
53,Sudan,Female,37,Secondary,Intermediate,4,2,religion,detention,False,0.5641782187301061,False,True,0.5510514841590506,0.8842259237907664,0.8842259237907664,0.6316757248561904,deny,False,False,deny,98,True,overturned,none
54,Myanmar,Female,28,Secondary,Intermediate,4,1,religion,detention,True,0.2999529491082338,False,True,0.458023632832777,0.7943207665046411,0.7943207665046411,0.6385276573244338,deny,False,False,deny,113,False,N/A,severe
55,Iraq,Female,27,Primary,Basic,6,7,social_group,threats,True,0.12271888118687982,True,False,0.45796185919558086,0.6389619861098992,0.6389619861098992,0.47171415566030717,deny,False,False,deny,43,False,N/A,none
56,Myanmar,Non-binary,57,Tertiary,Advanced,2,5,political_opinion,discrimination,True,0.367421086924846,False,False,0.8294361411000081,0.6747113258452317,0.6747113258452317,0.7121028073789699,approve,False,False,approve,55,False,N/A,none
57,Somalia,Female,55,Secondary,Basic,3,8,political_opinion,violence,False,0.6129070574305671,True,False,0.6818680070298534,0.8904020809524134,0.8904020809524134,0.5315683212095046,deny,False,False,deny,99,False,N/A,none
58,Syria,Male,23,Secondary,Advanced,3,7,religion,detention,True,0.14778607602212218,False,False,0.4242642892859329,0.9852051039029559,0.9852051039029559,0.4948080864719833,deny,True,True,approve,132,False,N/A,none
59,Sudan,Female,25,Tertiary,Advanced,5,9,nationality,discrimination,True,0.24578058499590213,True,False,0.7987830197582375,0.774244515303838,0.774244515303838,0.7216112016648664,approve,False,False,approve,69,False,N/A,none
60,Eritrea,Male,40,Tertiary,Advanced,1,2,nationality,discrimination,True,0.3624669057152179,False,True,0.7437133837984777,0.6327040335476414,0.6327040335476414,0.47625727854765215,approve,False,False,approve,80,False,N/A,none
61,Sudan,Male,64,Secondary,None,3,4,race,violence,False,0.2919142726491391,True,True,0.37836836155266723,0.8944576912393902,0.8944576912393902,0.44723074747488056,deny,False,False,deny,34,False,N/A,moderate
62,Iraq,Male,43,Tertiary,Intermediate,1,6,race,discrimination,True,0.15265446294340282,False,True,0.8636910758523819,0.5439124448572056,0.5439124448572056,0.7471962042555133,approve,False,False,approve,106,False,N/A,none
63,Eritrea,Male,63,Secondary,Basic,4,4,social_group,discrimination,False,0.4682786784345706,False,True,0.5832670111376308,0.6116567980997722,0.6116567980997722,0.39724565115636434,deny,False,False,deny,61,True,overturned,severe
64,Syria,Non-binary,60,Secondary,Intermediate,1,7,religion,discrimination,True,0.6480061083025889,False,True,0.8165287862121346,0.8634036134624309,0.8634036134624309,0.4180720855875068,approve,False,False,approve,109,False,N/A,none
65,Iraq,Female,29,Secondary,Basic,4,4,race,detention,True,0.32941971885358606,False,True,0.48760592194746527,0.8314384495711741,0.8314384495711741,0.3971308344584883,deny,False,False,deny,30,False,N/A,moderate
66,Afghanistan,Female,43,Secondary,Fluent,2,0,race,violence,True,0.16438975653959995,False,False,0.9406216238760388,1.0,1.0050842522584393,0.8998238626302213,approve,False,False,approve,106,False,N/A,none
67,Myanmar,Male,30,Primary,Intermediate,2,4,religion,discrimination,False,0.06765592124197875,False,False,0.8952599591791279,0.662416257125794,0.662416257125794,0.8052442835905576,deny,False,False,deny,83,False,N/A,none
68,Syria,Male,57,Tertiary,Intermediate,6,3,social_group,discrimination,True,0.3386963971831771,True,True,0.8667540173908992,0.8039058867618007,0.8039058867618007,0.47182836675037015,approve,False,False,approve,40,False,N/A,none
69,Myanmar,Male,35,Tertiary,Intermediate,6,5,race,detention,False,0.46558160149743866,True,True,0.5061787609856901,0.7700117927763388,0.7700117927763388,0.5451607721178386,deny,False,False,deny,82,False,N/A,moderate
70,Venezuela,Male,42,None,Intermediate,5,2,social_group,violence,True,0.3712751619743072,True,False,0.5119485883686429,0.6600826452564628,0.6600826452564628,0.6017726329080957,approve,False,False,approve,37,False,N/A,none
71,Afghanistan,Female,50,Tertiary,Intermediate,3,4,political_opinion,threats,True,0.2996394238621719,True,True,0.6182252941825306,0.8285013862611532,0.8285013862611532,0.695804513994986,approve,False,False,approve,54,False,N/A,none
72,Afghanistan,Female,64,Primary,Intermediate,5,1,social_group,detention,True,0.21160925223160407,True,False,0.7233881802614491,0.9323039610816576,0.9323039610816576,0.34110535787549734,approve,False,False,approve,69,False,N/A,none
73,Syria,Female,57,Primary,Fluent,4,5,nationality,violence,True,0.13617545509228654,False,True,0.77295303325218,0.9763155670541124,0.9763155670541124,0.47812018017458985,approve,False,False,approve,61,False,N/A,none
74,Afghanistan,Male,60,Secondary,Intermediate,5,5,nationality,discrimination,False,0.4252126989487323,True,True,0.49416609889613966,0.7540541271450412,0.7540541271450412,0.610708892819465,deny,False,False,deny,117,False,N/A,moderate
75,Eritrea,Female,29,Primary,Fluent,1,4,social_group,violence,False,0.43706574320783786,False,True,0.6801757770875407,0.8559676029255878,0.8559676029255878,0.4414508166228286,deny,False,False,deny,57,False,N/A,none
76,Afghanistan,Female,61,Tertiary,Advanced,4,5,nationality,violence,False,0.06814053199639003,True,True,0.41701090017657955,1.0,1.106969081139143,0.29879257261675823,deny,False,False,deny,107,False,N/A,none
77,Myanmar,Female,53,Tertiary,Basic,6,6,political_opinion,violence,False,0.5384758467271026,True,False,0.8662917508702835,0.8780052808124142,0.8780052808124142,0.827269227880157,deny,False,False,deny,32,True,overturned,none
78,Myanmar,Female,21,Secondary,Fluent,2,4,religion,threats,True,0.3861106831341002,False,False,0.723143863898496,0.7097880216869205,0.7097880216869205,0.6546182841682668,approve,False,False,approve,113,False,N/A,none
79,Iraq,Male,22,None,Basic,6,0,nationality,violence,True,0.5099391967718689,False,False,0.4583795909766746,0.7432909894661538,0.7432909894661538,0.4137346687599581,deny,False,False,deny,108,False,N/A,none
80,Myanmar,Male,54,Primary,Advanced,3,7,nationality,threats,False,0.09868083772723274,False,False,0.6535525429017909,0.7259679372818943,0.7259679372818943,0.3796460263476269,deny,False,False,deny,91,False,N/A,none
81,Iraq,Male,25,Secondary,Intermediate,4,3,social_group,discrimination,True,0.09512637668768417,False,False,0.8719041362520124,0.6836681973076262,0.6836681973076262,0.5028953335368368,approve,False,False,approve,56,False,N/A,none
82,Myanmar,Female,59,Tertiary,Advanced,4,8,political_opinion,threats,False,0.27765460353490545,True,False,0.37437403379039313,0.750527380003064,0.750527380003064,0.31050478822807104,deny,False,False,deny,74,False,N/A,moderate
83,Eritrea,Male,45,Secondary,Advanced,1,9,religion,discrimination,False,0.3754176640342791,False,False,0.7475084486511138,0.5708786012988178,0.5708786012988178,0.7944548501531526,deny,False,False,deny,54,False,N/A,none
84,Somalia,Male,48,Primary,Advanced,3,5,social_group,discrimination,True,0.5694541234390444,True,False,0.6841271863753454,0.7708418505715491,0.7708418505715491,0.5657306219834277,approve,False,False,approve,90,False,N/A,none
85,Iraq,Male,26,Secondary,Advanced,2,0,social_group,threats,False,0.40591183707226974,True,False,0.6819545418612477,0.5809700647050174,0.5809700647050174,0.7094865929823249,deny,False,False,deny,73,False,N/A,moderate
86,Sudan,Male,46,Secondary,Intermediate,4,2,political_opinion,detention,True,0.263597808478195,False,False,0.958933981845345,0.7781922279246258,0.7781922279246258,0.8880304640329784,approve,False,False,approve,75,False,N/A,none
87,Venezuela,Female,31,Secondary,Basic,4,2,religion,sexual_violence,True,0.1460446188501162,True,False,0.4669005811716343,0.7671189757244503,0.7671189757244503,0.5271192742526375,deny,False,False,deny,43,False,N/A,none
88,Syria,Female,57,Primary,Intermediate,1,9,political_opinion,violence,True,0.4845000859078725,True,True,0.6857694265853492,1.0,1.0265183273349947,0.4251044333348128,approve,False,False,approve,37,False,N/A,none
89,Myanmar,Male,58,Secondary,Basic,5,3,religion,sexual_violence,True,0.15529418613739276,False,False,0.6534379183059126,0.8844582228537168,0.8844582228537168,0.5367937682365614,approve,False,False,approve,77,False,N/A,none
90,Afghanistan,Male,39,Secondary,Intermediate,2,5,political_opinion,violence,True,0.5442702832158482,False,False,0.8892278878803275,0.8658182858856807,0.8658182858856807,0.89606748711893,approve,False,False,approve,43,False,N/A,none
91,Somalia,Female,28,Tertiary,Intermediate,6,6,social_group,violence,True,0.2573423025590236,True,True,0.5699216372833742,0.9463135373916619,0.9463135373916619,0.70971842056843,approve,False,False,approve,94,False,N/A,none
92,Myanmar,Male,40,Primary,Fluent,3,9,social_group,discrimination,False,0.5385873108926775,True,False,0.6400546651314362,0.6492864823525305,0.6492864823525305,0.4537823748264075,deny,False,False,deny,109,False,N/A,none
93,Afghanistan,Male,18,Secondary,Intermediate,4,3,race,violence,False,0.4018396935088917,True,False,0.8644104861216099,0.9074798978759394,0.9074798978759394,0.7256504573368197,deny,False,False,deny,111,False,N/A,none
94,Venezuela,Male,63,Tertiary,Advanced,4,5,nationality,violence,True,0.27945067658363126,True,False,0.8637981962495166,0.6548913587353962,0.6548913587353962,0.6142782874833882,approve,False,False,approve,36,False,N/A,severe
95,Venezuela,Male,54,Primary,Basic,6,0,political_opinion,threats,True,0.222090544226081,False,False,0.31825939799848624,0.571800288761129,0.571800288761129,0.5817176011665361,deny,False,False,deny,108,True,upheld,moderate
96,Venezuela,Female,38,Tertiary,Advanced,2,7,race,sexual_violence,False,0.24886381839808802,True,True,0.6391042478305096,0.8221919754820869,0.8221919754820869,0.4874914087294656,deny,False,False,deny,117,False,N/A,none
97,Afghanistan,Female,43,Secondary,Fluent,5,6,nationality,threats,True,0.3642475038562856,False,True,0.7779573980772092,0.8996317057825484,0.8996317057825484,0.6790831187984606,approve,False,False,approve,78,False,N/A,moderate
98,Myanmar,Male,63,None,Intermediate,4,8,political_opinion,violence,True,0.3115734744326575,True,True,0.5956646332319885,0.8226792761754609,0.8226792761754609,0.6300509306975524,approve,False,False,approve,84,False,N/A,none
99,Venezuela,Male,53,Primary,Intermediate,2,2,religion,discrimination,True,0.21092828878969422,False,True,0.4681154020210568,0.4208888416626761,0.4208888416626761,0.4483985326479771,deny,False,False,deny,42,False,N/A,moderate
100,Eritrea,Female,40,Secondary,Advanced,6,1,nationality,threats,True,0.27515528845235515,True,False,0.31286160152745884,0.782511384958284,0.782511384958284,0.48937117913270184,deny,False,False,deny,102,False,N/A,severe
101,Iraq,Female,18,None,Basic,1,0,social_group,threats,True,0.31178655445787246,False,False,0.528483477860555,0.7539753774000804,0.7539753774000804,0.3424348050681482,approve,False,False,approve,85,False,N/A,none
102,Afghanistan,Female,57,Secondary,Intermediate,5,2,race,detention,False,0.05,True,True,0.43695189650840366,0.9664470597285225,0.9664470597285225,0.3603239290686401,deny,False,False,deny,85,False,N/A,moderate
103,Afghanistan,Female,32,Primary,Intermediate,3,4,nationality,violence,True,0.36872521721830476,False,True,0.26739918028163834,0.9453824612883103,0.9453824612883103,0.41961947463737714,deny,False,False,deny,44,False,N/A,moderate
104,Myanmar,Male,38,Secondary,Basic,4,1,nationality,discrimination,True,0.15304181629247898,True,False,0.17515111125237892,0.6170480362555677,0.6170480362555677,0.6309665668560492,deny,False,False,deny,86,False,N/A,none
105,Afghanistan,Male,64,None,Intermediate,2,2,social_group,threats,True,0.12700013951913824,True,True,0.5920971290296613,0.7712949662358202,0.7712949662358202,0.3841915101140424,approve,False,False,approve,87,False,N/A,none
106,Afghanistan,Female,26,Tertiary,Basic,1,3,political_opinion,threats,True,0.05,False,False,0.669292617560745,0.9068206949945672,0.9068206949945672,0.6006359697035873,approve,False,False,approve,64,False,N/A,none
107,Venezuela,Male,26,Tertiary,None,3,6,religion,discrimination,True,0.05,False,True,0.4361515428931623,0.5516940527462104,0.5516940527462104,0.5915538151544054,deny,False,False,deny,117,False,N/A,moderate
108,Myanmar,Female,27,Tertiary,Basic,2,2,social_group,violence,False,0.0966828745331566,False,False,0.8583536544444142,0.8596269946354198,0.8596269946354198,0.562500525026631,deny,False,False,deny,45,True,upheld,none
109,Venezuela,Female,43,Secondary,Fluent,2,8,religion,detention,False,0.19364685635542644,False,False,0.895598702453461,0.7253981156813525,0.7253981156813525,0.7071021501238486,deny,False,False,deny,37,False,N/A,none
110,Iraq,Female,58,Primary,Intermediate,3,7,political_opinion,threats,True,0.5929888706289852,False,False,0.8924450064082875,0.7361739904582297,0.7361739904582297,0.7209650469251067,approve,False,False,approve,116,False,N/A,none
111,Somalia,Male,52,Secondary,Fluent,1,3,nationality,detention,False,0.2211180486157194,True,True,0.5110896791749506,0.8237857111418783,0.8237857111418783,0.6540350997379496,deny,False,False,deny,74,False,N/A,none
112,Iraq,Female,42,None,Intermediate,6,0,religion,sexual_violence,False,0.3266625159402047,True,False,0.5448174064069056,0.8694307885091016,0.8694307885091016,0.6284306724277329,deny,False,False,deny,69,False,N/A,none
113,Somalia,Male,43,None,Intermediate,1,0,race,violence,False,0.3600722079759493,True,True,0.2274929937577979,0.9173305682301078,0.9173305682301078,0.5129043179156126,deny,True,True,approve,140,False,N/A,moderate
114,Venezuela,Female,28,Primary,Intermediate,5,0,race,sexual_violence,True,0.3196597779323773,False,False,0.61559265022168,0.7962788908393535,0.7962788908393535,0.45675044912249957,approve,True,True,deny,72,True,upheld,moderate
115,Iraq,Female,55,Secondary,Intermediate,4,0,social_group,sexual_violence,True,0.28838348089110094,True,False,0.6627076219349984,0.9937912713823819,0.9937912713823819,0.729107933386824,approve,False,False,approve,88,False,N/A,none
116,Myanmar,Male,19,Secondary,Basic,3,7,political_opinion,sexual_violence,True,0.1207059354601133,True,True,0.6139920455894607,0.8073887678501338,0.8073887678501338,0.40719787780100586,approve,False,False,approve,82,False,N/A,none
117,Syria,Non-binary,24,Secondary,Intermediate,6,2,social_group,violence,True,0.5176391322418817,False,False,0.7068345821712848,1.0,1.0359050851014988,0.7297458648840904,approve,True,True,deny,107,True,overturned,severe
118,Venezuela,Female,35,Secondary,Basic,3,5,social_group,violence,True,0.5710794965456827,False,False,0.6935110707419875,0.7035399495094243,0.7035399495094243,0.5833309570081225,approve,False,False,approve,76,False,N/A,none
119,Somalia,Male,44,Primary,Intermediate,3,2,social_group,discrimination,True,0.05,True,True,0.6755160199708342,0.6865356506505678,0.6865356506505678,0.7922150940402629,approve,False,False,approve,109,False,N/A,severe
120,Eritrea,Male,51,Tertiary,Intermediate,1,4,race,detention,False,0.14639571136704307,True,True,0.9932393016074713,0.7494566431482514,0.7494566431482514,0.793850964962209,deny,False,False,deny,35,False,N/A,none
121,Somalia,Male,44,Secondary,Basic,4,6,race,detention,False,0.2580284486434491,True,True,0.4727055017070814,0.8368676239703519,0.8368676239703519,0.6391791144456087,deny,False,False,deny,84,False,N/A,none
122,Eritrea,Male,34,Secondary,Basic,5,1,social_group,discrimination,False,0.1553193307634713,True,False,0.45884659490004315,0.7959086777530046,0.7959086777530046,0.46544802146968484,deny,False,False,deny,73,False,N/A,moderate
123,Afghanistan,Male,60,Primary,Advanced,2,5,race,discrimination,True,0.3758948330183798,True,True,0.6569125422974614,0.74079270921584,0.74079270921584,0.4971238647159061,approve,False,False,approve,47,False,N/A,none
124,Iraq,Female,61,Secondary,Intermediate,2,5,political_opinion,sexual_violence,True,0.19075916963900802,False,False,0.5796579959290685,0.8234910635257658,0.8234910635257658,0.5304170476359134,approve,False,False,approve,45,False,N/A,none
125,Eritrea,Male,41,Secondary,Basic,3,2,social_group,discrimination,True,0.6247584101709903,False,True,0.7422941152654805,0.6636505358747192,0.6636505358747192,0.7706213791031182,approve,False,False,approve,41,False,N/A,moderate
126,Somalia,Male,42,Primary,Fluent,4,5,race,threats,True,0.4785822891515394,False,True,0.6275172941582151,0.6762679981226816,0.6762679981226816,0.4525906680282419,approve,True,False,approve,81,False,N/A,moderate
127,Afghanistan,Female,24,None,Basic,6,9,religion,detention,True,0.3318861045948322,True,False,0.36516354481890156,0.9254021608697868,0.9254021608697868,0.6681544016522292,deny,False,False,deny,74,True,upheld,severe
128,Syria,Male,23,Secondary,Intermediate,1,9,social_group,discrimination,True,0.45404793949795985,False,True,0.5493026418273325,0.8008012641147579,0.8008012641147579,0.7072378963813268,approve,False,False,approve,93,False,N/A,none
129,Myanmar,Female,41,Secondary,Fluent,4,4,social_group,threats,True,0.46588506365359633,True,False,0.9077626135207462,0.8197300191472605,0.8197300191472605,0.6369587673208179,approve,True,True,deny,120,False,N/A,moderate
130,Myanmar,Male,50,Primary,Basic,4,1,political_opinion,threats,False,0.2154078767912635,False,False,0.5263379525152773,0.7486811124713924,0.7486811124713924,0.653924992504758,deny,False,False,deny,119,False,N/A,none
